type,frame,parent,children,x,y,tid,from,to
division,10,2376.0,3529,1484.0892293826048,778.1225777377197,,,
division,10,2383.0,3530;3531,642.7408419901585,782.9775833788956,,,
division,10,2384.0,3532;3533,799.5663430420713,782.6731391585761,,,
division,10,2390.0,3534;3535,531.9034931912374,789.7643576080521,,,
division,10,2402.0,3536;3537,1397.246810870771,803.6788685524126,,,
division,10,2404.0,3538;3539,1603.235294117647,799.9254901960784,,,
division,10,2406.0,3540;3541,316.7720156555773,798.1614481409002,,,
division,10,2409.0,3542;3543,1198.088214537756,806.4756527875794,,,
division,10,2410.0,3544;3545,1541.1118605958404,821.2372119168072,,,
division,10,2412.0,3546,1430.023569023569,816.4074074074074,,,
division,10,2416.0,3547;3548,626.864278506559,825.7885973763875,,,
division,10,2418.0,3549;3550,1693.9694708276797,821.80868385346,,,
division,10,2420.0,3551;3552,868.2194586686174,814.9202633504024,,,
division,10,2422.0,3553;3554,1033.4754371357203,813.421315570358,,,
division,10,2425.0,3555,1302.5066941297632,828.9279093717817,,,
division,10,2431.0,3556,1358.405693950178,831.923487544484,,,
division,10,2445.0,3557,997.2333990795529,841.078238001315,,,
division,10,2447.0,3558,241.23379052369077,854.593204488778,,,
division,10,2449.0,3559;3560,1201.115889212828,844.7813411078718,,,
division,10,2452.0,3561;3562,836.334089191232,849.5820105820105,,,
division,10,2460.0,3563,1378.9098422238917,866.9244928625094,,,
division,10,2464.0,3564;3565,744.7347994825355,861.8072445019405,,,
division,10,2466.0,3566;3567,370.7666091458154,864.6078515962037,,,
division,10,2477.0,3568,1645.7876766091051,884.7370486656201,,,
division,10,2495.0,3569,437.12397072278134,898.0411710887465,,,
division,10,2499.0,3570,1666.208271787297,907.2991137370753,,,
division,10,2511.0,3571;3572,1753.9522003034901,909.8679817905918,,,
division,10,2513.0,3573;3574,849.8384201077199,902.9102333931777,,,
division,10,2514.0,3575,1220.034853921066,910.1178882624296,,,
division,10,2516.0,3576,1427.285373608903,910.5182829888712,,,
division,10,2517.0,3577,471.2342995169082,917.9740338164252,,,
division,10,2520.0,3578,556.9845857418112,916.628612716763,,,
division,10,2531.0,3579,1760.6577925679424,944.4581253466445,,,
division,10,2540.0,3580;3581,1803.8884917798428,940.2423159399572,,,
division,10,2549.0,3582;3583,1646.3722677595629,950.9262295081967,,,
division,10,2551.0,3584;3585,1474.2697700504768,953.3600673022995,,,
division,10,2554.0,3586,268.4218616567037,950.533731853117,,,
division,10,2556.0,3587;3588,892.2416153319645,947.9404517453798,,,
division,10,2561.0,3589;3590,1722.0008110300082,969.088402270884,,,
division,10,2564.0,3591,1540.0599872367582,968.3107849393746,,,
division,10,2571.0,3592;3593,187.52614896988908,967.9041204437401,,,
division,10,2572.0,3594,300.779827798278,970.4747847478475,,,
division,10,2584.0,3595;3596,1809.4895833333333,989.8258101851852,,,
division,10,2589.0,3597,1180.747508305648,992.516373991457,,,
division,10,2590.0,3598,1284.2989323843417,988.4918149466192,,,
division,10,2591.0,3599,1559.3743016759777,996.7211782630777,,,
division,10,2597.0,3600;3601,1087.4011299435028,985.9491525423729,,,
division,10,2598.0,3602,705.4474260679079,1000.671960569551,,,
division,10,2607.0,3603;3604,237.62904385334292,1010.5442127965492,,,
division,10,2627.0,3605;3606,1674.2075256556443,1030.6060433295324,,,
division,10,2629.0,3607,913.4640980735552,1023.1987740805604,,,
division,10,2631.0,3608,1327.3398163155052,1036.905996758509,,,
division,10,2638.0,3609;3610,307.1661237785016,1032.2328990228013,,,
division,10,2644.0,3611;3612,690.8736842105263,1037.4873684210527,,,
division,10,2658.0,3613,326.4426121372032,1065.5817941952507,,,
division,10,2659.0,3614,1619.201388888889,1066.0590277777778,,,
division,10,2663.0,3615;3616,1780.465868263473,1078.7005988023952,,,
division,10,2666.0,3617,1813.4565980933266,1080.8901154039138,,,
division,10,2671.0,3618;3619,793.1454940282301,1071.6938110749186,,,
division,10,2672.0,3620;3621,1674.3038674033148,1089.1872928176795,,,
division,10,2686.0,3622;3623,387.8118735543562,1084.2328450269854,,,
division,10,2705.0,3624,1200.4913294797689,1109.7790622992934,,,
division,10,2707.0,3625;3626,1783.702934860415,1124.7372942018612,,,
division,10,2742.0,3627;3628,658.5140186915888,1153.9158878504672,,,
division,10,2748.0,3629,680.7075664621677,1164.8527607361964,,,
division,10,2777.0,3630;3631,365.59631728045326,1203.029745042493,,,
division,10,2795.0,3632,914.2885408079143,1224.0453421269578,,,
division,10,2809.0,3633,804.0857321652065,1253.41239048811,,,
division,10,2813.0,3634,602.0758364312268,1255.2810408921932,,,
division,10,2821.0,3635;3636,529.2784810126582,1270.9061801935964,,,
division,10,2870.0,3637,1805.926359832636,1370.9066945606694,,,
division,10,2910.0,3638,1774.3634794615118,1428.981014842941,,,
division,10,2918.0,3639;3640,1461.8833841463415,1418.215701219512,,,
division,10,2942.0,3641;3642,1696.5420906567992,1464.2257169287698,,,
division,10,2948.0,3643,1716.4376672017122,1490.0968432316747,,,
division,10,2950.0,3644;3645,574.3477600607441,1474.4829157175398,,,
division,10,2951.0,3646,1739.8458618071375,1488.809415337889,,,
division,10,3022.0,3647;3648,649.1680555555556,1576.4083333333333,,,
division,10,3058.0,3649;3650,1633.2179034157832,1641.5912838633687,,,
division,10,3075.0,3651,753.5973496432212,1666.3720693170235,,,
division,10,3077.0,3652,1807.1842913558578,1685.5445370776656,,,
division,10,3078.0,3653;3654,1694.9646302250803,1669.2540192926044,,,
division,10,3085.0,3655;3656,1742.9763271162124,1678.390961262554,,,
division,10,3100.0,3657;3658,753.5599232981783,1711.0071907957813,,,
division,10,3102.0,3659,917.5862268518518,1711.295138888889,,,
division,10,3105.0,3660,1038.5219849246232,1713.305904522613,,,
division,10,3124.0,3661,1565.2968012585213,1744.7535395909806,,,
division,10,3126.0,3662,835.3582004555809,1749.3479498861047,,,
division,10,3127.0,3663;3664,1116.7796892341842,1750.781908990011,,,
division,10,3129.0,3665;3666,881.7693298969073,1743.7963917525774,,,
division,10,3132.0,3667;3668,730.226581265012,1758.7790232185748,,,
division,10,3156.0,3669;3670,1098.0919471153845,1793.9459134615386,,,
division,10,3161.0,3671,1806.1983783783783,1801.2621621621622,,,
division,10,3162.0,3672,1010.4722497522299,1804.0520317145688,,,
division,10,3166.0,3673,1053.9130434782608,1803.977817213842,,,
division,10,3180.0,3674,776.4978873239437,1829.2035211267605,,,
division,10,3196.0,3675;3676,876.2357320099255,1860.5508684863523,,,
division,10,3201.0,3677,1040.126567164179,1866.1594029850746,,,
division,10,3228.0,3678,1219.1776744186047,1897.766511627907,,,
division,10,3231.0,3679,771.8413132694939,1910.1908344733242,,,
division,10,3236.0,3680,1280.2364760432768,1912.918083462133,,,
division,10,3237.0,3681,1351.6841294298922,1913.7704160246533,,,
division,10,3240.0,3682;3683,831.384047267356,1915.2112259970459,,,
division,10,3251.0,3684,800.8195211786372,1923.206261510129,,,
division,11,3432.0,4270;4271,870.2844168260038,560.005258126195,,,
division,11,4183.0,4272,1826.480862908838,1566.8562978427278,,,
division,11,3045.0,4273;4274,1353.9870466321242,1638.2397812320091,,,
division,14,4326.0,5800,410.4934071109018,88.0283729691547,,,
division,14,4331.0,5801,608.6109375,134.53307291666667,,,
division,14,4332.0,5802,643.4541093032958,93.82989153108052,,,
division,14,4335.0,5803;5804,770.4120465434634,97.08829568788501,,,
division,14,4344.0,5805;5806,1134.7764157458564,102.65780386740332,,,
division,14,4348.0,5807,381.51247288503254,195.7434924078091,,,
division,14,4354.0,5808;5809,1229.6991253644314,207.34985422740525,,,
division,14,4360.0,5810;5811,293.6619301361753,208.0947306098283,,,
division,14,4363.0,5812;5813,447.54770017035776,218.78194207836458,,,
division,14,4364.0,5814;5815,636.6814357823893,223.04767246214246,,,
division,14,4367.0,5816;5817,767.0982191041554,223.46249325418242,,,
division,14,4372.0,5818,1257.6960179472799,226.15479528883904,,,
division,14,4374.0,5819;5820,1109.5025,217.4625,,,
division,14,4375.0,5821;5822,562.9055472263868,220.3568215892054,,,
division,14,4377.0,5823,807.5986577181208,227.3228187919463,,,
division,14,4384.0,5824,1280.4561562925942,256.480690595184,,,
division,14,4386.0,5825;5826,528.3701447067783,241.67783701447067,,,
division,14,4387.0,5827;5828,1318.6096997690531,242.91147036181678,,,
division,14,4393.0,5829;5830,701.3048048048048,251.14714714714714,,,
division,14,4394.0,5831;5832,105.26104417670683,250.02088353413654,,,
division,14,4397.0,5833;5834,353.4024864024864,258.46853146853147,,,
division,14,4398.0,5835,832.7423708920188,252.4718309859155,,,
division,14,4399.0,5836;5837,283.8638268156425,251.8687150837989,,,
division,14,4402.0,5838;5839,1041.9430756159727,257.34494477485134,,,
division,14,4404.0,5840;5841,433.79887745556596,265.5360149672591,,,
division,14,4406.0,5842,559.4835238735709,260.0195023537323,,,
division,14,4408.0,5843;5844,1156.7610681658468,263.40407589599437,,,
division,14,4409.0,5845;5846,46.80825818699573,273.29615567157094,,,
division,14,4412.0,5847,598.0629827688651,269.8900772430184,,,
division,14,4414.0,5848,1193.3967889908256,273.16628440366975,,,
division,14,4418.0,5849;5850,497.56004756242567,274.59453032104636,,,
division,14,4420.0,5851,634.5640558591379,276.8822100789314,,,
division,14,4422.0,5852;5853,246.59867549668874,276.05960264900665,,,
division,14,4427.0,5854,1056.3149967256059,290.25409299279636,,,
division,14,4429.0,5855,72.16132858837486,298.7722419928826,,,
division,14,4431.0,5856,528.8586601307189,289.2622549019608,,,
division,14,4434.0,5857;5858,710.1338120104439,296.0443864229765,,,
division,14,4439.0,5859,104.35449735449735,309.9104938271605,,,
division,14,4441.0,5860,559.8181818181819,302.3778966131907,,,
division,14,4448.0,5861;5862,906.4540229885057,314.653605015674,,,
division,14,4451.0,5863,590.2904318374259,319.1456392887384,,,
division,14,4452.0,5864,968.4123524069029,318.99727520435965,,,
division,14,4461.0,5865;5866,495.675235646958,320.8843187660668,,,
division,14,4463.0,5867,627.2803738317757,329.92798240791643,,,
division,14,4465.0,5868;5869,1145.6544054747646,328.57741659538067,,,
division,14,4466.0,5870;5871,1091.234726688103,328.55198285101824,,,
division,14,4472.0,5872;5873,715.9042904290429,337.9115511551155,,,
division,14,4474.0,5874,173.80166096726919,344.0913531998046,,,
division,14,4475.0,5875;5876,1048.96349905601,338.06041535556955,,,
division,14,4477.0,5877,1111.7632757517595,346.86628278950735,,,
division,14,4478.0,5878;5879,1276.0386384544618,350.3620055197792,,,
division,14,4479.0,5880;5881,268.278431372549,340.68169934640525,,,
division,14,4481.0,5882,1173.5087956698242,354.5850248082995,,,
division,14,4485.0,5883;5884,64.06232763375621,356.07060121345836,,,
division,14,4486.0,5885,743.4250599520384,356.7757793764988,,,
division,14,4487.0,5886;5887,884.9720176730486,360.74226804123714,,,
division,14,4490.0,5888;5889,1339.2114216281896,361.2539489671932,,,
division,14,4492.0,5890;5891,1005.5665427509293,360.0520446096654,,,
division,14,4495.0,5892,1368.8480355819124,367.15937731653077,,,
division,14,4499.0,5893;5894,962.7529215358932,370.2170283806344,,,
division,14,4502.0,5895,776.4831804281346,368.93042813455656,,,
division,14,4503.0,5896;5897,128.13685978169605,368.31318219983206,,,
division,14,4511.0,5898,88.13945578231292,372.81179138321994,,,
division,14,4516.0,5899,810.493778280543,385.4564479638009,,,
division,14,4521.0,5900;5901,708.3597678916827,391.7350096711799,,,
division,14,4522.0,5902;5903,657.7099373321397,388.5971351835273,,,
division,14,4526.0,5904;5905,35.701001430615165,402.6230329041488,,,
division,14,4530.0,5906;5907,1144.0459307010476,405.9750201450443,,,
division,14,4531.0,5908;5909,148.49724669603523,413.03469162995594,,,
division,14,4536.0,5910,844.7503328894807,407.2103861517976,,,
division,14,4537.0,5911;5912,928.1314285714286,404.3333333333333,,,
division,14,4539.0,5913,1172.4583333333333,409.22108843537416,,,
division,14,4540.0,5914,572.5371148459384,407.55392156862746,,,
division,14,4542.0,5915,881.6642192853647,414.65932452276064,,,
division,14,4543.0,5916;5917,1342.6227781435155,411.00724160631995,,,
division,14,4547.0,5918,677.0986887508627,419.90821256038646,,,
division,14,4549.0,5919;5920,206.80772142316428,413.22104466313397,,,
division,14,4555.0,5921,1195.463179916318,430.9560669456067,,,
division,14,4557.0,5922,950.8155970755483,422.7822908204712,,,
division,14,4560.0,5923,598.9814643188137,422.8721037998146,,,
division,14,4566.0,5924,171.67813455657492,435.28975535168195,,,
division,14,4576.0,5925;5926,435.3489159891599,450.42818428184285,,,
division,14,4581.0,5927,836.4785529715763,457.7354005167959,,,
division,14,4587.0,5928;5929,127.7775,457.51875,,,
division,14,4588.0,5930,190.1242568370987,461.8489892984542,,,
division,14,4592.0,5931;5932,1451.2096450100469,459.60281312793035,,,
division,14,4594.0,5933;5934,392.1323472168159,473.06656286492796,,,
division,14,4597.0,5935;5936,668.7459807073955,468.6861736334405,,,
division,14,4598.0,5937,705.1054292929293,472.49873737373736,,,
division,14,4611.0,5938;5939,516.873211963589,480.3374512353706,,,
division,14,4612.0,5940;5941,598.9824289405685,483.50077519379846,,,
division,14,4614.0,5942;5943,1194.7253155159615,487.15144766146994,,,
division,14,4618.0,5944,737.7464183381089,492.95845272206304,,,
division,14,4619.0,5945;5946,1259.0484877580413,494.63466154584734,,,
division,14,4621.0,5947;5948,1334.2970365265335,493.91454169538247,,,
division,14,4626.0,5949,537.867332382311,503.90798858773184,,,
division,14,4633.0,5950;5951,463.66976180863946,507.3435607589826,,,
division,14,4634.0,5952;5953,38.93318965517241,502.2471264367816,,,
division,14,4643.0,5954;5955,335.24606845513415,515.4967622571693,,,
division,14,4646.0,5956;5957,1125.7341857335127,522.5874831763123,,,
division,14,4647.0,5958,496.5604719764012,526.1172566371681,,,
division,14,4648.0,5959,1169.0501600853788,530.9887940234792,,,
division,14,4650.0,5960,13.982006920415225,531.4608996539793,,,
division,14,4653.0,5961,60.54252683732452,526.5177539223782,,,
division,14,4655.0,5962;5963,1437.4346420323325,539.6184757505773,,,
division,14,4659.0,5964;5965,804.8098360655738,538.0806557377049,,,
division,14,4663.0,5966;5967,957.0055900621118,538.9726708074534,,,
division,14,4664.0,5968;5969,1324.4599483204133,540.0607235142119,,,
division,14,4665.0,5970;5971,196.79595015576325,535.917445482866,,,
division,14,4668.0,5972;5973,557.9302112029385,537.2332415059687,,,
division,14,4673.0,5974;5975,258.5301067073171,552.8365091463414,,,
division,14,4676.0,5976;5977,312.8374422187982,549.7326656394453,,,
division,14,4678.0,5978;5979,1559.5452881976212,565.4057639524245,,,
division,14,4682.0,5980,342.20168067226894,562.1519607843137,,,
division,14,4685.0,5981;5982,453.4664897146649,557.2289316522894,,,
division,14,4688.0,5983;5984,680.0587885985748,562.9447743467933,,,
division,14,4689.0,5985;5986,1121.455962305183,574.0289960130482,,,
division,14,4691.0,5987,380.90018484288356,569.1132162661737,,,
division,14,4693.0,5988,1459.7202216066482,571.4411357340721,,,
division,14,4695.0,5989,487.80776892430276,571.7973107569721,,,
division,14,4699.0,5990,525.8853420195439,582.1407166123779,,,
division,14,4701.0,5991,1155.6219931271478,581.8584192439863,,,
division,14,4702.0,5992;5993,744.8265813788202,582.3610518834399,,,
division,14,4703.0,5994;5995,940.840616966581,577.0642673521851,,,
division,14,4705.0,5996,291.58631921824104,582.0472312703583,,,
division,14,4706.0,5997,415.2409638554217,584.8353413654619,,,
division,14,4709.0,5998;5999,1393.2456946039035,590.679104477612,,,
division,14,4710.0,6000,784.3405875952122,587.5369967355822,,,
division,14,4712.0,6001,1359.4662273476113,583.9011532125206,,,
division,14,4715.0,6002;6003,1003.2996309963099,585.3062730627306,,,
division,14,4716.0,6004,1037.3595021541407,598.2326471996171,,,
division,14,4717.0,6005;6006,1254.9563000728333,591.8922068463219,,,
division,14,4721.0,6007,820.3446418955305,600.7845988152935,,,
division,14,4727.0,6008;6009,107.34319526627219,597.1267962806425,,,
division,14,4728.0,6010;6011,239.7329149232915,599.7057182705719,,,
division,14,4731.0,6012;6013,354.072768192048,606.7014253563391,,,
division,14,4732.0,6014,854.879817112998,609.2018288700195,,,
division,14,4733.0,6015,1284.7189826302729,613.5576923076923,,,
division,14,4740.0,6016;6017,1557.7073011734028,614.6121251629726,,,
division,14,4741.0,6018,275.0642013353878,617.6111967128917,,,
division,14,4742.0,6019,1067.770109689214,621.1965265082267,,,
division,14,4744.0,6020,1406.8516483516485,625.8592032967033,,,
division,14,4745.0,6021;6022,488.16562716562714,615.5634095634096,,,
division,14,4747.0,6023;6024,1341.7445175438597,625.6315789473684,,,
division,14,4748.0,6025,311.54718543046357,624.9966887417219,,,
division,14,4749.0,6026;6027,1625.4576677316295,625.9161341853035,,,
division,14,4751.0,6028,16.92489451476793,622.0,,,
division,14,4752.0,6029,390.0840088430361,620.7936624907885,,,
division,14,4754.0,6030;6031,731.7246465888138,622.3700061462815,,,
division,14,4757.0,6032;6033,612.3853427895981,622.6643026004729,,,
