prev,cur,dr,dc,mag,err,inlier_frac,dr_stage,dc_stage,mag_stage,cause_guess
0,1,0.0,0.0,0.0,8819.665243080375,0.9987937273823885,0.0,0.0,0.0,camera?
1,2,1.2000000476837158,-0.4000000059604645,1.2649111111889608,5079.831985410541,0.9983772819472616,-20.0,0.0,20.0,tissue?
2,3,0.0,0.0,0.0,8794.530061350635,0.9987854251012146,0.0,0.0,0.0,camera?
3,4,1.600000023841858,0.0,1.600000023841858,5890.606335514197,0.9991836734693877,-18.0,2.0,18.110770276274835,tissue?
4,5,0.0,0.0,0.0,8814.513883363052,0.9991915925626516,0.0,0.0,0.0,camera?
5,6,0.4000000059604645,-0.800000011920929,0.8944272043279197,6458.086636148511,0.9983706720977596,-18.0,4.0,18.439088914585774,tissue?
6,7,0.0,0.0,0.0,8782.081700826975,0.9995929995929996,0.0,0.0,0.0,camera?
7,8,0.0,0.800000011920929,0.800000011920929,6190.619597423185,1.0,-14.0,4.0,14.560219778561036,tissue?
8,9,0.0,0.0,0.0,8762.67578996279,0.9991850040749797,0.0,0.0,0.0,camera?
9,10,0.0,0.4000000059604645,0.4000000059604645,6700.3811085639,1.0,-12.0,4.0,12.649110640673518,tissue?
10,11,0.0,0.0,0.0,8734.213587953984,0.9983666802776644,0.0,0.0,0.0,camera?
11,12,0.0,0.800000011920929,0.800000011920929,6884.845604659556,0.9991742361684558,-8.0,4.0,8.94427190999916,tissue?
12,13,0.0,0.0,0.0,8785.495717374177,0.9991786447638604,0.0,0.0,0.0,camera?
13,14,-0.4000000059604645,1.2000000476837158,1.2649111111889608,6625.304747707836,0.9995867768595041,-10.0,2.0,10.198039027185569,tissue?
14,15,0.0,0.0,0.0,8687.87010722421,0.9991766158913133,0.0,0.0,0.0,camera?
15,16,-1.2000000476837158,1.600000023841858,2.000000047683716,6913.661475658177,0.9991680532445923,-10.0,-2.0,10.198039027185569,tissue?
16,17,0.0,0.0,0.0,8700.959429855997,0.9991728701406121,0.0,0.0,0.0,camera?
17,18,-1.2000000476837158,1.2000000476837158,1.6970563422826717,7248.206053914307,1.0,-8.0,0.0,8.0,tissue?
18,19,0.0,0.0,0.0,8746.437846346364,0.9983464241422075,0.0,0.0,0.0,camera?
19,20,-0.800000011920929,2.0,2.1540659272811236,6967.143675854546,0.9974958263772955,-8.0,2.0,8.246211251235321,tissue?
20,21,0.0,0.0,0.0,8665.926320942268,0.9983361064891847,0.0,0.0,0.0,camera?
21,22,-0.4000000059604645,1.2000000476837158,1.2649111111889608,6938.191046663388,0.998320033599328,-8.0,4.0,8.94427190999916,tissue?
22,23,0.0,0.0,0.0,8651.91117615062,0.9983484723369116,0.0,0.0,0.0,camera?
23,24,-2.0,1.2000000476837158,2.3323807824711897,6967.10664479883,0.999581589958159,-8.0,6.0,10.0,tissue?
24,25,0.0,0.0,0.0,8636.93134162823,0.9979244499792445,0.0,0.0,0.0,camera?
25,26,0.4000000059604645,0.800000011920929,0.8944272043279197,6983.390222520864,0.9958036088963491,-8.0,6.0,10.0,tissue?
26,27,0.0,0.0,0.0,8601.056156077579,0.9983270598076118,0.0,0.0,0.0,camera?
27,28,0.0,-0.4000000059604645,0.4000000059604645,7067.564997932456,0.9987315010570824,-6.0,6.0,8.48528137423857,tissue?
28,29,0.0,0.0,0.0,8580.870293857144,0.9983235540653814,0.0,0.0,0.0,camera?
29,30,-0.4000000059604645,0.4000000059604645,0.5656854333786078,6868.399740842113,0.9991529013130029,-8.0,6.0,10.0,tissue?
30,31,0.0,0.0,0.0,8556.794668566028,0.9983319432860718,0.0,0.0,0.0,camera?
31,32,0.800000011920929,0.0,0.800000011920929,7108.717394861045,0.9978876214617659,-6.0,6.0,8.48528137423857,tissue?
32,33,0.0,0.0,0.0,8518.65852115226,0.9978991596638656,0.0,0.0,0.0,camera?
33,34,-0.4000000059604645,0.0,0.4000000059604645,7009.691220018183,0.9991482112436116,-4.0,6.0,7.211102550927978,tissue?
