,num_frames,mota,idf1,num_switches,precision,recall
run0,7,0.9447369978107805,0.9665454326850822,89,0.9904692082111437,0.9592331814685522
run1,12,0.9497959603580124,0.9607819181429444,239,0.9964811260396673,0.9613867837179795
run2,83,0.9069786026811579,0.4173568874354351,8750,0.9946002411441875,0.9558717759175274
run3,2,0.9452090366138666,0.9686253655942568,9,0.9970035412694089,0.9504024928589977
run4,3,0.94105871886121,0.9667314507831256,14,0.9992942836979535,0.9448398576512456
