prev,cur,dr,dc,mag,inlier_frac,dr_stage,dc_stage,mag_stage,cause_guess
132,135,-11.832412191593903,-5.097599100814477,12.883768659224078,0.9613075383589059,0.0,0.0,0.0,unknown
135,137,-5.848052516368625,-3.1088830745947575,6.623056107697349,0.9867132867132867,0.0,0.0,0.0,unknown
137,139,-3.1992564883697696,-3.8136891579740677,4.977897856728784,0.9682875264270613,0.0,0.0,0.0,unknown
139,141,-8.791766654030766,-2.927645026191726,9.266405252216876,0.9766081871345029,0.0,0.0,0.0,unknown
141,143,-11.033281700496445,-5.485624173975793,12.321744099786253,0.9605947955390335,0.0,0.0,0.0,unknown
143,144,-12.105625124260882,-4.422324656792455,12.88809974430718,0.9611801242236024,0.0,0.0,0.0,unknown
144,145,-9.14934064206534,-5.560921010401842,10.70673977775108,0.992862807295797,0.0,0.0,0.0,unknown
145,146,-10.53283207053704,-1.9876534281909528,10.718736752842325,0.9775888717156105,0.0,0.0,0.0,unknown
146,147,-8.362528366374647,-2.980548402311811,8.877812199914127,0.9675632911392406,0.0,0.0,0.0,unknown
147,148,-8.988606711395505,-5.193272392686367,10.38099844700801,0.9762878168438267,0.0,0.0,0.0,unknown
148,149,-1.2507762364380142,-3.4880937295135652,3.705568655349661,0.962171052631579,0.0,0.0,0.0,unknown
149,150,-13.818062688815985,-5.0439672801635425,14.709876355544559,0.9283865401207938,0.0,0.0,0.0,unknown
150,151,-10.624785675070825,-2.7138467149665075,10.96590327485724,0.9733806566104702,0.0,0.0,0.0,unknown
151,152,-7.309810846695655,-0.7345798707294762,7.346627947633552,0.9743824336688015,0.0,0.0,0.0,unknown
152,154,-15.757537679865493,-5.791992148455023,16.788304464124582,0.8837429111531191,0.0,0.0,0.0,unknown
154,157,6.934742928544438,1.8608490193566922,7.1800709298611975,0.9167482859941234,0.0,0.0,0.0,unknown
157,158,-11.119010429738012,-2.471318280756634,11.390338317250485,0.9620901639344263,0.0,0.0,0.0,unknown
158,159,-4.081308436148106,-2.3232095801887453,4.696209248367715,0.9775160599571735,0.0,0.0,0.0,unknown
159,160,-8.639346509135095,-2.328574086818037,8.947656977259756,0.9844789356984479,0.0,0.0,0.0,unknown
160,161,-10.146009273020354,-3.7939999336872745,10.83217151198383,0.9608501118568232,0.0,0.0,0.0,unknown
161,162,-8.079476108267016,-5.502956787429298,9.775503444241208,0.9776995305164319,0.0,0.0,0.0,unknown
162,163,-9.776408190432448,-4.095817174911701,10.599711101546887,0.9686746987951808,0.0,0.0,0.0,unknown
163,164,-10.456018612127764,-4.473617300879937,11.372843838367539,0.9724655819774718,0.0,0.0,0.0,unknown
164,166,0.35420098206037665,-1.2511370656422969,1.3003085375081378,0.9819819819819819,-19.43822830952479,-22.850717279419,29.999999999952482,unknown
166,167,-8.449252431826949,-5.141714458387696,9.890758020916632,0.9619952494061758,0.0,0.0,0.0,unknown
167,169,-3.820313558960578,-3.7306778946089025,5.339733442982107,0.7829457364341085,0.0,0.0,0.0,unknown
169,170,6.3061656096406296,4.333227875284024,7.651443557613993,0.8951612903225806,0.0,0.0,0.0,unknown
170,172,-3.9578242106011885,-2.5273402408241736,4.695936666407471,0.8613065326633166,0.0,0.0,0.0,unknown
172,174,-5.20502124152199,-2.3370817937870925,5.705628574972806,0.7943595769682726,0.0,0.0,0.0,unknown
