frame,parent_id,child_a,frac_a,child_b,frac_b,cover_frac,parent_remain,touch_len,persist_a,persist_b,parent_in_top2,y_event,x_event,y_child_a,x_child_a,y_child_b,x_child_b,angle_deg,r_eq,d1,d2,d12,f3
0,222,2359,0.5480949406620862,222,0.4444097439100562,0.9925046845721424,0.007495315427857641,74,True,True,True,168.91911305434104,1373.8266708307308,154.69252468265162,1370.2291960507757,177.1081081081081,1411.9419206440482,116.31646464573855,31.925354431243168,14.674387261139774,38.985021589351646,47.354089298579034,0.0
0,353,394,0.5461760461760461,361,0.35497835497835495,0.901154401154401,0.09884559884559896,28,True,True,True,264.54834054834055,118.85569985569985,279.03954802259886,120.23728813559322,255.82594417077175,100.23973727422003,120.55125912802218,21.004225818885445,14.556918638130076,20.5580704688568,30.639409985226056,0.0
0,407,448,0.609737542791936,495,0.302776721186763,0.9125142639786991,0.08748573602130094,42,True,True,True,331.85241536705973,267.00456447318373,328.57424118129614,259.4774405250205,361.9452332657201,288.184584178499,148.67260728598754,28.928129749038145,8.209995184116705,36.799061452698446,44.019577569987405,0.018638265500190185
0,551,551,0.7364775725593667,2375,0.2434036939313984,0.9798812664907651,0.020118733509234876,66,True,True,True,437.55079155672826,1819.6009234828496,426.8120638085743,1823.7198404785643,459.027,1856.921,98.93402306594258,31.066309322306914,11.501554280468326,43.05828190191549,46.261421372299566,0.0
0,821,821,0.48644067796610174,835,0.3940677966101695,0.8805084745762712,0.11949152542372876,38,True,True,True,633.0661016949152,1529.0533898305084,633.9742046431643,1546.2897678417885,627.7249283667621,1523.4183381088826,139.54953006210422,19.38054864282415,17.260283251220347,7.764144539276182,23.709823955610766,0.0
0,916,2393,0.6218740584513408,916,0.270563422717686,0.8924374811690268,0.10756251883097323,134,True,True,True,722.6022898463392,1677.4874962338054,730.4413407821229,1677.0686352753391,706.7206851119895,1698.7832674571805,129.77277935837472,32.50339231901805,7.850233377189392,26.565677874589458,32.15889855411239,0.04248267550467008
0,1015,2398,0.6995708154506437,1015,0.2510729613733906,0.9506437768240343,0.04935622317596566,48,True,True,True,798.5841201716738,1846.795278969957,808.305223880597,1846.4776119402984,788.986960882648,1872.1083249749247,112.63531462114634,27.233472690941056,9.726292698730246,27.071308879855508,32.09561864057603,0.0351931330472103
0,1237,1237,0.5616776315789473,1236,0.334703947368421,0.8963815789473684,0.10361842105263164,32,True,True,True,961.2730263157895,1208.970394736842,962.2435064935065,1229.060064935065,951.0365448504983,1195.7242524916944,145.06918369756386,19.67396303746374,20.11309723659449,16.740544709415367,35.1691964725871,0.0
0,1722,1722,0.646201413427562,2426,0.3418727915194346,0.9880742049469966,0.011925795053003396,46,True,True,True,1354.6117491166078,1478.9028268551237,1347.8654205607477,1476.2280373831775,1371.8266199649738,1517.152364273205,135.8583311925435,26.844991754889815,7.257234163429525,41.94495072142911,47.42298607522426,0.0
0,2055,2055,0.6975184439973172,2085,0.266934942991281,0.9644533869885983,0.03554661301140172,118,True,True,True,1646.111334674715,1319.6016096579476,1651.2801324503312,1335.8344370860927,1657.4305835010061,1311.6700201207243,107.35725417282335,21.785317080548356,17.035878514392966,13.821559484315973,24.93485703594338,0.0
0,2067,2067,0.671161825726141,2173,0.35684647302904565,1.0,0.0,78,True,True,True,1670.8086099585062,1691.597510373444,1657.4849115504683,1692.2060353798126,1704.9918450560651,1705.722731906218,154.93355396471014,24.77299861870477,13.337587561164408,36.986692810860106,49.392406461845354,0.0
0,2071,2110,0.5794392523364487,2071,0.4205607476635514,1.0,0.0,262,True,True,True,1663.8948598130842,1253.06608811749,1686.3540300809873,1274.2965676822214,1645.7399135446685,1277.3018731988473,83.44767272339104,30.881327999401787,30.9054621656293,30.281600890950298,40.72515590238965,0.0
0,2099,2099,0.4366883116883117,2438,0.5449134199134199,0.9816017316017316,0.018398268398268414,18,True,True,True,1693.0846861471862,78.26190476190476,1720.5598086124403,107.19245082402978,1676.896475770925,73.87059471365639,148.69909503729338,34.29975713230766,39.8981058439301,16.773245336724102,54.925701902382414,0.0
0,2190,2190,0.6581068975813675,2450,0.34547626157061806,1.0,0.0,88,True,True,True,1780.0149298298,994.6575097043893,1792.9794103883949,990.5208235844642,1756.978878960195,1032.7595450852964,138.85343513587392,32.64995878756228,13.60845061750112,44.52442857392914,55.499079786404245,0.004478948939982084
0,2286,2266,0.5482272207396112,2286,0.38810522302706824,0.9363324437666793,0.06366755623332065,98,True,True,True,1871.419748379718,991.3149065955014,1850.9333906317147,963.4232917920069,1882.475238922676,1018.7602085143353,165.64327754730508,28.895100474995463,34.60683502034943,29.588316419853715,63.695074738506484,0.030880670987418986
0,2315,2470,0.5129514775629332,2315,0.4133527909522072,0.9263042685151405,0.07369573148485953,184,True,True,True,1909.2535570959503,1033.165632980664,1915.219263899765,1016.7439310884887,1899.7585403726707,1060.4510869565217,179.22212857950987,29.537897657581695,17.471747213846573,28.890333006803704,46.361076843121175,0.035388544326888
1,1493,1540,0.48668032786885246,1714,0.4965846994535519,0.9832650273224044,0.016734972677595605,38,True,True,True,1269.9614071038252,1775.6871584699454,1241.1431608788093,1799.1467044649185,1302.528129395218,1777.2784810126582,138.0551799931742,30.52886088189566,37.15967725607821,32.605577870046204,65.1638976483027,0.0
1,1558,1558,0.6345919610231425,1541,0.3118148599269184,0.9464068209500609,0.0535931790499391,46,True,True,True,1235.002436053593,1660.783191230207,1234.551637279597,1675.4086901763224,1201.9663551401868,1650.4280373831775,105.63813337455574,22.861864165325283,14.632444736183313,34.62097418202983,41.058904345788534,0.006699147381242387
