prev,cur,dr,dc,mag,err,dr_stage,dc_stage,mag_stage
135,137,6.4,3.2,7.155417527999328,0.9999999999998397,0.0,0.0,0.0
137,139,3.2,4.0,5.122499389946279,0.9999999999997837,0.0,0.0,0.0
139,141,8.8,3.2,9.3637599285757,0.9999999999996596,0.0,0.0,0.0
141,143,12.0,4.8,12.924395537122809,0.9999999999997342,0.0,0.0,0.0
143,144,12.0,4.0,12.649110640673518,0.9999999999995544,-26.559283493182505,-13.950070261953753,29.99999999974472
144,145,8.8,4.8,10.023971268913334,0.9999999999997436,0.0,0.0,0.0
145,146,11.2,1.6,11.31370849898476,0.9999999999996991,0.0,0.0,0.0
146,147,8.0,3.2,8.616263691415206,0.9999999999996653,0.0,0.0,0.0
147,148,8.8,4.8,10.023971268913334,0.9999999999997436,0.0,0.0,0.0
148,149,17.6,4.0,18.048822676285564,0.9999999999999688,0.0,0.0,0.0
149,150,13.6,4.0,14.17603611733548,0.9999999999998778,0.0,0.0,0.0
150,151,8.8,3.2,9.3637599285757,0.9999999999997896,0.0,0.0,0.0
151,152,8.0,0.0,8.0,0.9999999999995239,0.0,0.0,0.0
152,154,17.6,6.4,18.7275198571514,0.999999999999864,0.0,0.0,0.0
154,157,28.0,9.6,29.599999999999998,0.9999999999997964,0.0,0.0,0.0
157,158,11.2,2.4,11.454256850621082,0.9999999999995587,0.0,0.0,0.0
158,159,4.0,3.2,5.122499389946279,0.9999999999992484,0.0,0.0,0.0
159,160,8.8,3.2,9.3637599285757,0.9999999999992881,0.0,0.0,0.0
160,161,9.6,4.0,10.4,0.9999999999991113,0.0,0.0,0.0
161,162,8.0,4.8,9.32952303175248,0.9999999999991336,0.0,0.0,0.0
162,163,9.6,4.0,10.4,0.9999999999993027,0.0,0.0,0.0
163,164,11.2,4.0,11.892854997854805,0.999999999999013,0.0,0.0,0.0
164,166,-437.6,-384.0,582.1939195835009,0.9999999999999394,0.0,0.0,0.0
166,167,8.0,4.0,8.94427190999916,0.9999999999996885,0.0,0.0,0.0
167,169,58.4,26.4,64.08993680758313,0.9999999999999906,0.0,0.0,0.0
169,170,26.4,16.0,30.87005021051958,0.9999999999996564,0.0,0.0,0.0
170,172,56.0,36.0,66.57326790837296,0.9999999999998125,0.0,0.0,0.0
172,174,54.4,44.0,69.96684929307592,0.9999999999998044,0.0,0.0,0.0
