frame,DET@0.5,TP@0.5,FP@0.5,FN@0.5,DET@0.7,TP@0.7,FP@0.7,FN@0.7,SEG
0,0.9999999999995675,2312,0,0,0.9999999999995675,2312,0,0,0.9999999999999997
1,0.9999999999995713,2333,0,0,0.9999999999995713,2333,0,0,0.9999999999999997
2,0.9999999999995842,2405,0,0,0.9999999999995842,2405,0,0,0.9999999999999997
3,0.9999999999995725,2339,0,0,0.9999999999995725,2339,0,0,0.9999999999999997
4,0.9999999999995741,2348,0,0,0.9999999999995741,2348,0,0,0.9999999999999997
5,0.9999999999995661,2305,0,0,0.9999999999995661,2305,0,0,0.9999999999999997
7,0.9999999999995699,2325,0,0,0.9999999999995699,2325,0,0,0.9999999999999997
11,0.9999999999995577,2261,0,0,0.9999999999995577,2261,0,0,0.9999999999999997
12,0.9999999999995559,2252,0,0,0.9999999999995559,2252,0,0,0.9999999999999997
15,0.9999999999995793,2377,0,0,0.9999999999995793,2377,0,0,0.9999999999999997
17,0.9999999999995811,2387,0,0,0.9999999999995811,2387,0,0,0.9999999999999997
18,0.9999999999995784,2372,0,0,0.9999999999995784,2372,0,0,0.9999999999999997
19,0.9999999999995818,2391,0,0,0.9999999999995818,2391,0,0,0.9999999999999997
20,0.9999999999995498,2221,0,0,0.9999999999995498,2221,0,0,0.9999999999999997
21,0.9999999999995508,2226,0,0,0.9999999999995508,2226,0,0,0.9999999999999997
22,0.9999999999995856,2413,0,0,0.9999999999995856,2413,0,0,0.9999999999999997
23,0.9999999999995839,2403,0,0,0.9999999999995839,2403,0,0,0.9999999999999997
25,0.9999999999995849,2409,0,0,0.9999999999995849,2409,0,0,0.9999999999999997
26,0.9999999999995852,2411,0,0,0.9999999999995852,2411,0,0,0.9999999999999997
31,0.9999999999995864,2418,0,0,0.9999999999995864,2418,0,0,0.9999999999999997
32,0.9999999999995764,2361,0,0,0.9999999999995764,2361,0,0,0.9999999999999997
33,0.9999999999995777,2368,0,0,0.9999999999995777,2368,0,0,0.9999999999999997
34,0.9999999999995667,2308,0,0,0.9999999999995667,2308,0,0,0.9999999999999997
35,0.9999999999995705,2328,0,0,0.9999999999995705,2328,0,0,0.9999999999999997
36,0.9999999999995702,2327,0,0,0.9999999999995702,2327,0,0,0.9999999999999997
37,0.9999999999995725,2339,0,0,0.9999999999995725,2339,0,0,0.9999999999999997
38,0.999999999999571,2331,0,0,0.999999999999571,2331,0,0,0.9999999999999997
39,0.9999999999995733,2344,0,0,0.9999999999995733,2344,0,0,0.9999999999999997
40,0.999999999999573,2342,0,0,0.999999999999573,2342,0,0,0.9999999999999997
41,0.9999999999995637,2292,0,0,0.9999999999995637,2292,0,0,0.9999999999999997
42,0.999999999999562,2283,0,0,0.999999999999562,2283,0,0,0.9999999999999997
43,0.9999999999995854,2412,0,0,0.9999999999995854,2412,0,0,0.9999999999999997
44,0.9999999999995708,2330,0,0,0.9999999999995708,2330,0,0,0.9999999999999997
45,0.9999999999995705,2328,0,0,0.9999999999995705,2328,0,0,0.9999999999999997
46,0.9999999999995567,2256,0,0,0.9999999999995567,2256,0,0,0.9999999999999997
47,0.99999999999956,2273,0,0,0.99999999999956,2273,0,0,0.9999999999999997
48,0.9999999999995862,2417,0,0,0.9999999999995862,2417,0,0,0.9999999999999997
49,0.9999999999995887,2431,0,0,0.9999999999995887,2431,0,0,0.9999999999999997
50,0.9999999999995873,2423,0,0,0.9999999999995873,2423,0,0,0.9999999999999997
51,0.9999999999995868,2420,0,0,0.9999999999995868,2420,0,0,0.9999999999999997
52,0.9999999999995883,2429,0,0,0.9999999999995883,2429,0,0,0.9999999999999997
53,0.9999999999995896,2436,0,0,0.9999999999995896,2436,0,0,0.9999999999999997
54,0.9999999999995877,2425,0,0,0.9999999999995877,2425,0,0,0.9999999999999997
55,0.9999999999995881,2428,0,0,0.9999999999995881,2428,0,0,0.9999999999999997
56,0.9999999999995874,2424,0,0,0.9999999999995874,2424,0,0,0.9999999999999997
57,0.9999999999995881,2428,0,0,0.9999999999995881,2428,0,0,0.9999999999999997
58,0.9999999999995861,2416,0,0,0.9999999999995861,2416,0,0,0.9999999999999997
59,0.9999999999995874,2424,0,0,0.9999999999995874,2424,0,0,0.9999999999999997
60,0.9999999999995874,2424,0,0,0.9999999999995874,2424,0,0,0.9999999999999997
61,0.9999999999995874,2424,0,0,0.9999999999995874,2424,0,0,0.9999999999999997
63,0.9999999999995871,2422,0,0,0.9999999999995871,2422,0,0,0.9999999999999997
64,0.9999999999995564,2254,0,0,0.9999999999995564,2254,0,0,0.9999999999999997
65,0.9999999999995859,2415,0,0,0.9999999999995859,2415,0,0,0.9999999999999997
66,0.9999999999995864,2418,0,0,0.9999999999995864,2418,0,0,0.9999999999999997
67,0.9999999999995856,2413,0,0,0.9999999999995856,2413,0,0,0.9999999999999997
68,0.9999999999995864,2418,0,0,0.9999999999995864,2418,0,0,0.9999999999999997
69,0.9999999999995867,2419,0,0,0.9999999999995867,2419,0,0,0.9999999999999997
70,0.9999999999995852,2411,0,0,0.9999999999995852,2411,0,0,0.9999999999999997
71,0.9999999999995858,2414,0,0,0.9999999999995858,2414,0,0,0.9999999999999997
72,0.999999999999561,2278,0,0,0.999999999999561,2278,0,0,0.9999999999999997
73,0.9999999999995516,2230,0,0,0.9999999999995516,2230,0,0,0.9999999999999997
74,0.9999999999995818,2391,0,0,0.9999999999995818,2391,0,0,0.9999999999999997
75,0.9999999999995667,2308,0,0,0.9999999999995667,2308,0,0,0.9999999999999997
76,0.9999999999995656,2302,0,0,0.9999999999995656,2302,0,0,0.9999999999999997
77,0.9999999999995856,2413,0,0,0.9999999999995856,2413,0,0,0.9999999999999997
78,0.9999999999995868,2420,0,0,0.9999999999995868,2420,0,0,0.9999999999999997
80,0.9999999999995884,2430,0,0,0.9999999999995884,2430,0,0,0.9999999999999997
81,0.9999999999995854,2412,0,0,0.9999999999995854,2412,0,0,0.9999999999999997
82,0.999999999999588,2427,0,0,0.999999999999588,2427,0,0,0.9999999999999997
83,0.9999999999995849,2409,0,0,0.9999999999995849,2409,0,0,0.9999999999999997
84,0.9999999999995767,2362,0,0,0.9999999999995767,2362,0,0,0.9999999999999997
86,0.9999999999995867,2419,0,0,0.9999999999995867,2419,0,0,0.9999999999999997
87,0.9999999999995883,2429,0,0,0.9999999999995883,2429,0,0,0.9999999999999997
88,0.9999999999995878,2426,0,0,0.9999999999995878,2426,0,0,0.9999999999999997
89,0.9999999999995856,2413,0,0,0.9999999999995856,2413,0,0,0.9999999999999997
90,0.9999999999995839,2403,0,0,0.9999999999995839,2403,0,0,0.9999999999999997
91,0.9999999999995816,2390,0,0,0.9999999999995816,2390,0,0,0.9999999999999997
92,0.9999999999995784,2372,0,0,0.9999999999995784,2372,0,0,0.9999999999999997
93,0.9999999999995758,2357,0,0,0.9999999999995758,2357,0,0,0.9999999999999997
94,0.9999999999995721,2337,0,0,0.9999999999995721,2337,0,0,0.9999999999999997
95,0.9999999999995526,2235,0,0,0.9999999999995526,2235,0,0,0.9999999999999997
98,0.999999999999568,2315,0,0,0.999999999999568,2315,0,0,0.9999999999999997
99,0.9999999999995631,2289,0,0,0.9999999999995631,2289,0,0,0.9999999999999997
100,0.9999999999995647,2297,0,0,0.9999999999995647,2297,0,0,0.9999999999999997
101,0.99999999999956,2273,0,0,0.99999999999956,2273,0,0,0.9999999999999997
102,0.9999999999995574,2259,0,0,0.9999999999995574,2259,0,0,0.9999999999999997
103,0.9999999999995579,2262,0,0,0.9999999999995579,2262,0,0,0.9999999999999997
104,0.9999999999995549,2247,0,0,0.9999999999995549,2247,0,0,0.9999999999999997
105,0.9999999999995534,2239,0,0,0.9999999999995534,2239,0,0,0.9999999999999997
106,0.9999999999995494,2219,0,0,0.9999999999995494,2219,0,0,0.9999999999999997
107,0.9999999999995508,2226,0,0,0.9999999999995508,2226,0,0,0.9999999999999997
108,0.9999999999995431,2189,0,0,0.9999999999995431,2189,0,0,0.9999999999999997
