frame,DET@0.5,TP@0.5,FP@0.5,FN@0.5,DET@0.7,TP@0.7,FP@0.7,FN@0.7,SEG
109,0.9999999999995312,2133,0,0,0.9999999999995312,2133,0,0,0.9999999999999997
111,0.999999999999526,2110,0,0,0.999999999999526,2110,0,0,0.9999999999999997
112,0.999999999999518,2075,0,0,0.999999999999518,2075,0,0,0.9999999999999997
113,0.9999999999995122,2050,0,0,0.9999999999995122,2050,0,0,0.9999999999999997
114,0.9999999999995003,2001,0,0,0.9999999999995003,2001,0,0,0.9999999999999997
115,0.9999999999995066,2027,0,0,0.9999999999995066,2027,0,0,0.9999999999999997
117,0.9999999999995062,2025,0,0,0.9999999999995062,2025,0,0,0.9999999999999997
119,0.9999999999994792,1920,0,0,0.9999999999994792,1920,0,0,0.9999999999999997
120,0.9999999999994864,1947,0,0,0.9999999999994864,1947,0,0,0.9999999999999997
121,0.9999999999994783,1917,0,0,0.9999999999994783,1917,0,0,0.9999999999999997
126,0.9999999999994372,1777,0,0,0.9999999999994372,1777,0,0,0.9999999999999996
127,0.999999999999472,1894,0,0,0.999999999999472,1894,0,0,0.9999999999999997
132,0.9999999999993731,1595,0,0,0.9999999999993731,1595,0,0,0.9999999999999996
134,0.9999999999992744,1378,0,0,0.9999999999992744,1378,0,0,0.9999999999999994
135,0.999999999999217,1277,0,0,0.999999999999217,1277,0,0,0.9999999999999994
